Time	ax	ay	vx	vy	Height	Mass	Density
75	110.83761483500571	104.27397770040784	3971.0297335507553	8419.811041013869	320102.01374783856	260972.80632411066	3.0296681874299453e-15
76	112.49859312315986	103.61131035832231	4083.528326673915	8523.422351372192	328625.43609921075	259850.27667984192	1.3319798503943928e-15
77	114.16153193057275	102.93052390169936	4197.689858604488	8626.352875273891	337251.78897448466	258727.74703557312	5.822098874485083e-16
78	115.82632714891484	102.23150652005437	4313.516185753403	8728.584381793946	345980.37335627864	257605.21739130435	2.5306199958545453e-16
79	117.49287424004896	101.51414585988115	4431.009059993452	8830.098527653827	354810.4718839325	256482.68774703558	1.094022098440106e-16
80	119.16106824081193	100.77832900050412	4550.170128234264	8930.876856654331	363741.34874058684	255360.15810276679	4.705043433408849e-17
81	120.83080376776714	100.02394242909196	4671.000932002031	9030.900799083423	372772.24953967024	254237.62845849802	2.0133826625376184e-17
82	122.50197502192621	99.25087201480713	4793.502907023957	9130.15167109823	381902.4012107685	253115.09881422925	8.57434708842341e-18
83	124.17447579343698	98.45900298206581	4917.677382817394	9228.610674080297	391131.0118848488	251992.56916996048	3.6347525124558835e-18
84	125.84819946623554	97.64821988288028	5043.525582283629	9326.258893963177	400457.270778812	250870.0395256917	1.534033157135687e-18
85	127.5230390226589	96.81840656825626	5171.048621306288	9423.077300531433	409880.34807934344	249747.5098814229	6.447151151970025e-19
86	129.19888704801684	95.9694461586161	5300.247508354305	9519.04674669005	419399.3948260335	248624.98023715414	2.6987411826211297e-19
87	130.87563573511866	95.101221013218	5431.1231440894235	9614.147967703268	429013.5427937368	247502.45059288538	1.125387071305864e-19
88	132.5531768887533	94.21361269854043	5563.676320978177	9708.361580401808	438721.9043741386	246379.9209486166	4.67602518124281e-20
89	134.23140193011866	93.30650195559991	5697.907722908295	9801.668082357408	448523.572456496	245257.39130434784	1.9363007043006033e-20
90	135.91020190119815	92.37976866616873	5833.817924809493	9894.047851023577	458417.62030751957	244134.86166007904	7.992386077118431e-21
91	137.5894674690801	91.43329181785923	5971.407392278573	9985.481142841436	468403.101450361	243012.33201581027	3.2890785408851403e-21
92	139.26908893021812	90.46694946803837	6110.676481208791	10075.948092309474	478479.0495426705	241889.8023715415	1.3497470598098305e-21
93	140.94895621462788	89.48061870653744	6251.6254374234195	10165.428711016011	488644.4782536865	240767.2727272727	5.524549175826313e-22
94	142.6289588900175	88.47417561711762	6394.254396313437	10253.902886633128	498898.38114031963	239644.74308300397	2.25576189902841e-22
95	144.30898616584764	87.44749523765331	6538.563382479284	10341.350381870781	509239.7315221904	238522.21343873517	9.19024202742202e-23
96	145.9889268973181	86.40045151899255	6684.552309376602	10427.750833389773	519667.48235558014	237399.6837944664	3.7366538938502394e-23
97	147.66866958927605	85.33291728245206	6832.220978965878	10513.083750672226	530180.5661062524	236277.15415019763	1.516511080701932e-23
98	149.34810240004356	84.24476417590422	6981.569081365922	10597.32851484813	540777.8946211005	235154.62450592883	6.144679312474444e-24
99	151.02711314515872	83.13586262841034	7132.596194511081	10680.46437747654	551458.358998577	234032.0948616601	2.486150688175978e-24
100	152.70558930102737	82.00608180335375	7285.301783812109	10762.470459279895	562220.829457857	232909.5652173913	1.0046469042680631e-24
101	154.38341800848016	80.85528955002476	7439.685201820589	10843.32574882992	573064.1552066868	231787.03557312253	4.0554579017200674e-25
102	156.06048607623148	79.68335235360624	7595.7456878968205	10923.009101183527	583987.1643078703	230664.50592885376	1.6356444880262423e-25
103	157.7366799842347	78.49013528350868	7753.482367881055	11001.499236467036	594988.6635443374	229541.97628458496	6.592377296257924e-26
104	159.41188588692924	77.27550194000062	7912.894253767985	11078.774738407037	606067.4382827444	228419.44664031622	2.655707718151448e-26
105	161.0859896163747	76.03931439907785	8073.98024338436	11154.814052806116	617222.2523355505	227296.91699604742	1.069507686842636e-26
